date,day_of_data,day_of_week,direction_of_travel_name,fips_state_code,functional_classification_name,month_of_data,station_id,traffic_volume_counted_after_0000_to_0100,traffic_volume_counted_after_0100_to_0200,traffic_volume_counted_after_0200_to_0300,traffic_volume_counted_after_0300_to_0400,traffic_volume_counted_after_0400_to_0500,traffic_volume_counted_after_0500_to_0600,traffic_volume_counted_after_0600_to_0700,traffic_volume_counted_after_0700_to_0800,traffic_volume_counted_after_0800_to_0900,traffic_volume_counted_after_0900_to_1000,traffic_volume_counted_after_1000_to_1100,traffic_volume_counted_after_1100_to_1200,traffic_volume_counted_after_1200_to_1300,traffic_volume_counted_after_1300_to_1400,traffic_volume_counted_after_1400_to_1500,traffic_volume_counted_after_1500_to_1600,traffic_volume_counted_after_1600_to_1700,traffic_volume_counted_after_1700_to_1800,traffic_volume_counted_after_1800_to_1900,traffic_volume_counted_after_1900_to_2000,traffic_volume_counted_after_2000_to_2100,traffic_volume_counted_after_2100_to_2200,traffic_volume_counted_after_2200_to_2300,traffic_volume_counted_after_2300_to_2400,year_of_data,month_name_of_data,day_name_of_week,sum_of_traffic_on_this_date,state_names,state_names_full
1/1/15,1,5,North,13,Urban,1,336,366,455,297,225,161,172,194,236,341,465,564,687,752,720,778,785,789,711,629,561,461,379,318,278,15,January,Thursday,11324,GA,Georgia
1/1/15,1,5,West,8,Rural,1,260,12,9,3,8,8,6,6,25,29,31,56,76,128,98,99,99,112,66,58,36,30,33,30,13,15,January,Thursday,1071,CO,Colorado
1/1/15,1,5,East,30,Rural,1,103,2,0,1,1,0,2,0,3,3,4,10,7,13,12,14,12,20,15,5,7,3,3,1,4,15,January,Thursday,142,MT,Montana
1/1/15,1,5,East,2,Urban,1,526,84,67,59,42,24,20,26,26,18,30,55,74,71,92,115,120,105,122,126,88,92,108,96,46,15,January,Thursday,1706,AK,Alaska
1/2/15,2,6,North,4,Urban,1,100672,682,426,294,285,495,1340,2943,4276,4120,3880,3938,4339,4735,4901,5179,5663,5525,5120,4315,3192,2571,2692,2411,1562,15,January,Friday,74884,AZ,Arizona
1/2/15,2,6,South,12,Urban,1,940260,109,84,61,73,97,167,257,370,399,427,460,578,585,604,663,676,640,626,529,411,340,322,283,222,15,January,Friday,8983,FL,Florida
1/2/15,2,6,South,27,Urban,1,365,73,62,67,160,489,1512,2044,1817,1507,1225,1047,1114,1038,1000,1006,1053,1126,1109,897,611,452,390,303,187,15,January,Friday,20289,MN,Minnesota
1/2/15,2,6,East,28,Urban,1,240232,280,525,248,149,154,261,412,573,616,778,975,1060,1123,1109,1087,1096,1013,926,772,644,477,425,358,257,15,January,Friday,15318,MS,Mississippi
1/3/15,3,7,East,15,Urban,1,SL23LF,292,193,130,126,249,523,813,1048,1228,1354,1458,1491,1432,1430,1430,1483,1349,1334,1254,1024,869,968,790,541,15,January,Saturday,22809,HI,Hawaii
1/3/15,3,7,East,41,Rural,1,20004,0,4,2,5,3,4,12,20,36,36,56,47,68,57,52,73,70,56,39,26,13,11,15,5,15,January,Saturday,710,OR,Oregon
1/3/15,3,7,West,18,Urban,1,491315,250,155,97,54,53,60,93,142,155,204,301,318,386,417,509,697,510,513,619,647,433,315,303,249,15,January,Saturday,7480,IN,Indiana
1/3/15,3,7,South,56,Rural,1,149,0,0,0,0,0,0,0,3,4,3,5,6,8,5,6,10,8,5,4,3,1,5,1,0,15,January,Saturday,77,WY,Wyoming
1/4/15,4,1,West,13,Urban,1,300,161,139,123,89,80,114,167,328,439,572,741,795,913,922,882,813,740,666,553,506,374,294,196,153,15,January,Sunday,10760,GA,Georgia
1/4/15,4,1,East,27,Rural,1,229,0,0,2,2,2,6,5,4,14,24,24,32,26,25,17,24,23,14,10,9,4,5,0,0,15,January,Sunday,272,MN,Minnesota
1/4/15,4,1,North,12,Urban,1,30191,42,29,31,10,30,34,80,113,183,324,594,676,781,751,798,679,773,668,566,397,303,179,117,60,15,January,Sunday,8218,FL,Florida
